id,poolIndex,groupId
295a7242-dcd2-4a06-83f0-fcb5b5e346a2,0,6f36e6bc-2ab3-4440-a09f-43208e0dff63
19b015d8-7315-43db-996f-62cfee1bb132,1,6f36e6bc-2ab3-4440-a09f-43208e0dff63
13a2a99a-4f93-4ffb-ac43-6c6f495b7a0e,2,6f36e6bc-2ab3-4440-a09f-43208e0dff63
5a28cffb-bd97-4cf1-894a-0004a0333262,3,6f36e6bc-2ab3-4440-a09f-43208e0dff63
0017c42b-a753-4095-b48b-2b7f9c8907ea,4,6f36e6bc-2ab3-4440-a09f-43208e0dff63
0895dbbd-d309-410d-b194-2fa1ebf8b659,5,6f36e6bc-2ab3-4440-a09f-43208e0dff63
43f22e50-2104-444a-b6ce-d3c90a0a1614,6,6f36e6bc-2ab3-4440-a09f-43208e0dff63
5af4d3ea-5ac6-4acf-8276-a1186cb6a54b,7,6f36e6bc-2ab3-4440-a09f-43208e0dff63
83713fe9-946e-4f76-9a98-05f0bf5be683,8,6f36e6bc-2ab3-4440-a09f-43208e0dff63
ebc2d934-3882-484e-b30e-e34b27dacafc,9,6f36e6bc-2ab3-4440-a09f-43208e0dff63
df573bdb-0043-4495-863c-b0970f9cdf51,10,6f36e6bc-2ab3-4440-a09f-43208e0dff63
e572ce29-6df4-474e-af3f-0c48a13eaaf5,0,fcdb5c87-3a5b-47b9-ae4b-17c878c92e13
0059ab65-6139-4722-9c44-e399b06b9e7e,1,fcdb5c87-3a5b-47b9-ae4b-17c878c92e13
875eb70c-997b-4ea2-ab92-d2254c7c2ca8,2,fcdb5c87-3a5b-47b9-ae4b-17c878c92e13
49682f60-a72d-43d9-b22f-23b7c3209607,3,fcdb5c87-3a5b-47b9-ae4b-17c878c92e13
0e5bd6b9-5605-4482-bdfe-9c36b7907872,4,fcdb5c87-3a5b-47b9-ae4b-17c878c92e13
3eb4e180-d8df-4bab-9fbb-f48a158c4718,5,fcdb5c87-3a5b-47b9-ae4b-17c878c92e13
8655b271-1d12-4ab9-a678-b333f948e6fd,6,fcdb5c87-3a5b-47b9-ae4b-17c878c92e13
fb948ef6-554f-4e03-82db-b9f84ba757e6,7,fcdb5c87-3a5b-47b9-ae4b-17c878c92e13
ed81b7b2-fdd7-4e63-8b6a-180c76cf6ecf,8,fcdb5c87-3a5b-47b9-ae4b-17c878c92e13
c8010c99-e160-4656-b8ec-b6c9efc9bd3b,0,ec5a5f98-1e38-4419-84ee-c29efbd197a5
cb08e7ad-41be-45b8-8dea-a48a503d19c1,1,ec5a5f98-1e38-4419-84ee-c29efbd197a5
c549d090-54c5-4200-8aee-61a20366a263,2,ec5a5f98-1e38-4419-84ee-c29efbd197a5
f24de985-db39-4c34-a7a4-ab522500d16b,3,ec5a5f98-1e38-4419-84ee-c29efbd197a5
919d7d30-c203-49c5-9178-6492c6beb0f1,4,ec5a5f98-1e38-4419-84ee-c29efbd197a5
e6bf6234-8575-4315-a34c-d115299f9d93,5,ec5a5f98-1e38-4419-84ee-c29efbd197a5
6e590b83-3f4b-4d13-97a6-8d7ee3df654e,6,ec5a5f98-1e38-4419-84ee-c29efbd197a5
75f10be8-b162-41d4-849e-795ddd31ce9b,7,ec5a5f98-1e38-4419-84ee-c29efbd197a5
c27dba36-cbda-4ef1-92c7-77fe1c3958cd,8,ec5a5f98-1e38-4419-84ee-c29efbd197a5
780c873c-5d31-4fb4-92ec-dc65f64f0e1a,9,ec5a5f98-1e38-4419-84ee-c29efbd197a5
f0d18ae3-a3c7-4e15-9f53-596b2faee0bd,0,12f2ce15-5f5f-432d-bfac-e8535b023d97
95d3a35b-5d63-405a-8b4b-204806e582a9,1,12f2ce15-5f5f-432d-bfac-e8535b023d97
799e9bd2-bb79-4584-aa84-665a4efff158,2,12f2ce15-5f5f-432d-bfac-e8535b023d97
deb7c9d8-f323-4820-8663-c80223665799,3,12f2ce15-5f5f-432d-bfac-e8535b023d97
4a984739-a886-43dd-8278-88c822fabc10,4,12f2ce15-5f5f-432d-bfac-e8535b023d97
58997e82-b50e-40ad-b65d-eb35bd025dc5,5,12f2ce15-5f5f-432d-bfac-e8535b023d97
453047e9-d209-4c4c-ab75-9e51b727b04e,0,a2705f19-474e-42e3-b541-d8e4ad7d2926
30e2d7bd-5165-41ba-95ea-7015fc9afd55,1,a2705f19-474e-42e3-b541-d8e4ad7d2926
b60f1758-768e-4008-a899-4f730d3475df,2,a2705f19-474e-42e3-b541-d8e4ad7d2926
5a1f75bb-0dc7-47e9-af8c-0b21fa9cef31,3,a2705f19-474e-42e3-b541-d8e4ad7d2926
dbec333f-6788-4523-9e51-a9fe3063c37d,4,a2705f19-474e-42e3-b541-d8e4ad7d2926
532634a1-516d-4098-9c09-d77c38d23936,5,a2705f19-474e-42e3-b541-d8e4ad7d2926
5aebfa48-67ee-4150-935f-e10b5beb0f62,0,c95cc19d-f414-4927-8339-1bf602047a36
241b8e72-a364-4054-9977-7f77d998f5a4,1,c95cc19d-f414-4927-8339-1bf602047a36
b348f0d3-2e15-4f62-a86d-91952463a4b7,0,3eb8597e-ca5f-48ba-b2b5-78cf87e116f6
2bbe594c-51d9-4c84-97c3-0399440e9162,1,3eb8597e-ca5f-48ba-b2b5-78cf87e116f6
035caadc-2a4b-45ef-99e4-4e450e1185b9,2,3eb8597e-ca5f-48ba-b2b5-78cf87e116f6
72036774-5913-44f6-9195-d1961c06ccf2,3,3eb8597e-ca5f-48ba-b2b5-78cf87e116f6
4ff19bd9-cb4b-419b-b5b1-8ec88d7ef0bb,0,e00e5a9c-aa19-48d4-a118-f9943032c55d
fb0a8418-3954-43f0-90f3-ad4c011f4e69,1,e00e5a9c-aa19-48d4-a118-f9943032c55d
ccfc8510-7acf-4e8d-8b8d-ea39e670e4ab,2,e00e5a9c-aa19-48d4-a118-f9943032c55d
8439963d-6b3a-4bf4-a817-d87de9d33c2b,3,e00e5a9c-aa19-48d4-a118-f9943032c55d
ae920a3e-51c4-4dca-8d70-9a418c203965,4,e00e5a9c-aa19-48d4-a118-f9943032c55d
717e09aa-7f6d-43ae-b7c7-20e5f7fdf7c2,5,e00e5a9c-aa19-48d4-a118-f9943032c55d
99f43e5d-ad84-45fc-b782-8d4c162a7ce2,6,e00e5a9c-aa19-48d4-a118-f9943032c55d
0c2dc35b-a308-43d7-9c54-1eb64ebfb15d,7,e00e5a9c-aa19-48d4-a118-f9943032c55d
585dfaf5-28c2-4785-9042-0ab4fa514291,8,e00e5a9c-aa19-48d4-a118-f9943032c55d
5868059c-4234-4c0c-9622-5f86938b149d,0,fdbc65bd-e3cb-48a9-ac9e-05a56f7ba63f
f6f239b8-17d1-469e-9c4d-d4c8417264af,1,fdbc65bd-e3cb-48a9-ac9e-05a56f7ba63f
826516c5-531c-418c-8d25-0939bfcf520b,2,fdbc65bd-e3cb-48a9-ac9e-05a56f7ba63f
0c745e37-5b44-4738-aa24-0c481ac2c168,3,fdbc65bd-e3cb-48a9-ac9e-05a56f7ba63f
dc15a60c-3074-4efe-b5fa-e5ea0742e2c2,4,fdbc65bd-e3cb-48a9-ac9e-05a56f7ba63f
ec6ca6f6-8b92-43d4-919b-7c46c932a268,5,fdbc65bd-e3cb-48a9-ac9e-05a56f7ba63f
699260ae-25b4-4b00-b361-6f7b1cea961f,6,fdbc65bd-e3cb-48a9-ac9e-05a56f7ba63f
836508c7-2c04-4ffd-bfad-806b9cdbef88,7,fdbc65bd-e3cb-48a9-ac9e-05a56f7ba63f
e88bde19-a10d-45ee-aad3-c2914c426873,8,fdbc65bd-e3cb-48a9-ac9e-05a56f7ba63f
4929741b-f511-439f-a71c-77372241df8e,0,7e58dc05-7edd-4559-a595-c8ba37301d59
e4c05310-bd51-4237-b75d-f1c57a4d263a,1,7e58dc05-7edd-4559-a595-c8ba37301d59
f71a62ea-6e21-4d37-975a-95b1ff7b8431,2,7e58dc05-7edd-4559-a595-c8ba37301d59
2a92000c-f547-4b53-9004-b575800360ab,3,7e58dc05-7edd-4559-a595-c8ba37301d59
fc388d31-153b-438b-8c33-cf752d8e97e2,4,7e58dc05-7edd-4559-a595-c8ba37301d59
b9a2a74d-94eb-4e43-93b4-842986f817d6,5,7e58dc05-7edd-4559-a595-c8ba37301d59
55f4a1e0-8563-4d92-a158-167c2674f822,6,7e58dc05-7edd-4559-a595-c8ba37301d59
6330ad48-72ee-47c7-bdda-a4b48181aebe,7,7e58dc05-7edd-4559-a595-c8ba37301d59
90959a9d-13a7-4d68-b688-61f1c18a66c3,8,7e58dc05-7edd-4559-a595-c8ba37301d59
dba850ce-f65e-42a1-afa4-98d05c329b41,0,54d6c752-e0a7-45cd-9131-56cf05df00c4
db83337d-e8f1-4bad-813b-4519f3bf59f5,1,54d6c752-e0a7-45cd-9131-56cf05df00c4
90271bcc-1642-4803-8fe3-1ae8f466b175,2,54d6c752-e0a7-45cd-9131-56cf05df00c4
97c6cf5c-9a15-4188-9cc4-ee008205279d,3,54d6c752-e0a7-45cd-9131-56cf05df00c4
49586b32-c4ac-471c-866e-a00798e25469,4,54d6c752-e0a7-45cd-9131-56cf05df00c4
6b85f5ef-dcbf-48f6-a55b-ffcfd7552295,5,54d6c752-e0a7-45cd-9131-56cf05df00c4
8cf61997-125c-4444-a217-7cb9d4a8e026,6,54d6c752-e0a7-45cd-9131-56cf05df00c4
