id,roundNumber,scoreA,scoreB,winner,createdAt,updatedAt,matchId,winnerPosition
77b7dd3a-1242-4293-916f-f9d9682b0d18,1,4,2,069b099a-3d88-499e-a5e4-dfb156c5cc94,2025-05-10 12:34:11.245,2025-05-10 12:34:11.245,1100f960-9528-4463-9f32-f99cc947ee32,A
1ba1c896-33b7-4ead-b71f-ad111d68c2c9,2,1,5,78f4f136-c566-4ee5-a8fb-c5feadf56772,2025-05-10 12:34:11.248,2025-05-10 12:34:11.248,1100f960-9528-4463-9f32-f99cc947ee32,B
14e7da48-299d-4a8d-a926-6910ab4e4bc6,3,4,6,78f4f136-c566-4ee5-a8fb-c5feadf56772,2025-05-10 12:34:11.249,2025-05-10 12:34:11.249,1100f960-9528-4463-9f32-f99cc947ee32,B
ea1fd18f-0c4e-4ab9-b4f2-21fa04f89755,1,4,2,46a3606a-53b7-4c0d-974f-6a728707e5c0,2025-05-10 13:54:19.369,2025-05-10 13:54:19.369,8aa12d89-d1d2-4df4-9ede-83ebe9605557,A
ae2b6c93-5332-4b39-9567-a464d64dd0d8,2,4,1,46a3606a-53b7-4c0d-974f-6a728707e5c0,2025-05-10 13:54:19.372,2025-05-10 13:54:19.372,8aa12d89-d1d2-4df4-9ede-83ebe9605557,A
3c851ec2-6e83-4f35-9992-a6940f93c1c9,3,0,0,,2025-05-10 13:54:19.375,2025-05-10 13:54:19.375,8aa12d89-d1d2-4df4-9ede-83ebe9605557,
