id,position,matchId,participantId
00af9489-5be5-4891-a39b-4f96f1c54629,B,15dbe4cf-5d36-4bef-8f95-a511e210f458,db49f36b-baa6-4346-8f6f-8932f1917b6b
9af87f61-ffdf-4f88-a89d-1aa1c49d8447,A,51e038c4-e85b-4325-a511-38fc481558b4,069b099a-3d88-499e-a5e4-dfb156c5cc94
ecd59b62-0126-4da1-ab82-088bd58f4241,A,29144a55-4e15-4a19-8b9c-ff8aad394a7a,78f4f136-c566-4ee5-a8fb-c5feadf56772
c8bfce7a-6b46-411b-8db3-c4ec9e88a350,B,46a58efe-1152-4351-ba7e-6238d58f636f,db49f36b-baa6-4346-8f6f-8932f1917b6b
5d3e5056-c557-4141-991c-ebf92ff7ba3a,A,72a68eb2-c5b8-4e73-a342-a392db6ad006,78f4f136-c566-4ee5-a8fb-c5feadf56772
bb00e811-42d9-4d53-a691-b76bbe192656,A,8aa12d89-d1d2-4df4-9ede-83ebe9605557,46a3606a-53b7-4c0d-974f-6a728707e5c0
435fb0d2-155c-4d9b-a898-9d592d0fd24d,B,8aa12d89-d1d2-4df4-9ede-83ebe9605557,ce153594-aad3-4314-8fa4-1aa4e2c4cf4e
4120d652-e94e-4085-b933-9301801c14d9,A,78d5176b-f72b-461a-98cc-d5b1230483a0,ec5dbc37-93bd-4f1c-a56c-4e8ae1e36155
1e73b36c-b6bb-42ca-aba8-5d26c55aadba,A,1100f960-9528-4463-9f32-f99cc947ee32,069b099a-3d88-499e-a5e4-dfb156c5cc94
b22686d2-e07f-497e-abcc-51eb13f982c4,B,1100f960-9528-4463-9f32-f99cc947ee32,78f4f136-c566-4ee5-a8fb-c5feadf56772
d5ab5cfe-09c5-4aee-936d-792e3f35d30d,A,15dbe4cf-5d36-4bef-8f95-a511e210f458,a7f3aa2b-b6f2-4a0c-9147-7362fc98f6a0
e280d104-3270-48bb-866b-d84c1f833924,B,51e038c4-e85b-4325-a511-38fc481558b4,a7f3aa2b-b6f2-4a0c-9147-7362fc98f6a0
6bdc2710-485a-401f-8c9a-e114dfdd714e,B,29144a55-4e15-4a19-8b9c-ff8aad394a7a,db49f36b-baa6-4346-8f6f-8932f1917b6b
f6298d6b-6305-4164-b475-292c34179928,A,46a58efe-1152-4351-ba7e-6238d58f636f,069b099a-3d88-499e-a5e4-dfb156c5cc94
88780174-3498-420a-ad0d-e061f8ae5186,B,72a68eb2-c5b8-4e73-a342-a392db6ad006,a7f3aa2b-b6f2-4a0c-9147-7362fc98f6a0
125eea4a-2635-4c70-9d78-111b04331608,B,78d5176b-f72b-461a-98cc-d5b1230483a0,2781c5af-7d1f-48a6-a2ca-f111e40f1a41
6656cf83-5b2c-4504-875a-58d977f07c3a,B,7ee34fcd-94b3-4122-8ffb-e36ec86744be,1d0b5b4d-774d-42da-b173-0fec1dfb614b
edfab55b-19ed-4cb4-848f-d60144ca1ca3,B,59bab512-c0a0-4337-a975-38041dca52c0,b47e1331-7dea-445a-9e5b-af46a0a0e93f
a32356af-941d-4c83-8542-e70ef117ea35,A,a08707f3-d9a0-445e-849d-fa13e79cbc17,0af56dc0-24b8-4c99-926b-b5304c784299
